"source","component_type","category","material_name_en","material_name_cn","color_or_family","grade","form","size_mm","dimensions_mm","public_price_usd","price_type","availability","local_image_path","image_file","source_item_id","notes"
"Annflora Crystal Weave","bead","Artisan Beads","Agarwood Pill Bead","沉香药片珠","not disclosed","not disclosed","non-round (4 x 9 mm)","9","9 x 4","3","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_024.png","prod_024.png","prod_024","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Amber","蜜蜡","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_027.png","prod_027.png","prod_027_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Amber","蜜蜡","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_027.png","prod_027.png","prod_027_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Amber","蜜蜡","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_027.png","prod_027.png","prod_027_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Green Sandalwood","绿檀木","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_026.png","prod_026.png","prod_026_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Green Sandalwood","绿檀木","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_026.png","prod_026.png","prod_026_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Green Sandalwood","绿檀木","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_026.png","prod_026.png","prod_026_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Red Sandalwood","小叶紫檀","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_023.png","prod_023.png","prod_023_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Red Sandalwood","小叶紫檀","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_023.png","prod_023.png","prod_023_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Red Sandalwood","小叶紫檀","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_023.png","prod_023.png","prod_023_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","White Bodhi Seed","白菩提","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_025.png","prod_025.png","prod_025_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","White Bodhi Seed","白菩提","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_025.png","prod_025.png","prod_025_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","White Bodhi Seed","白菩提","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_025.png","prod_025.png","prod_025_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Cinnabar","High-Content Imperial Sand","高含量帝王砂","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_036.jpg","prod_036.jpg","prod_036_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Cinnabar","High-Content Imperial Sand","高含量帝王砂","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_036.jpg","prod_036.jpg","prod_036_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Cinnabar","High-Content Imperial Sand","高含量帝王砂","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_036.jpg","prod_036.jpg","prod_036_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Cinnabar","High-Content Purple Gold Sand","高含量紫金砂","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_037.png","prod_037.png","prod_037_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Cinnabar","High-Content Purple Gold Sand","高含量紫金砂","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_037.png","prod_037.png","prod_037_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Cinnabar","High-Content Purple Gold Sand","高含量紫金砂","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_037.png","prod_037.png","prod_037_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Cinnabar","High-Content Red Sand","高含量红砂","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_038.jpg","prod_038.jpg","prod_038_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Cinnabar","High-Content Red Sand","高含量红砂","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_038.jpg","prod_038.jpg","prod_038_10mm","One local image may serve several size variants."
