material_key,source_product_name_zh,source_image_path,upload_filename,wordpress_attachment_id,wordpress_media_url,upload_status
linganshi-8e5eaf3a1f3e,千伞流苏吊坠,C:\Users\Dylan\Desktop\灵感石验室\千伞流苏吊坠.webp,linganshi-8e5eaf3a1f3e.webp,56472,https://goearthward.com/wp-content/uploads/2026/07/linganshi-8e5eaf3a1f3e.webp,uploaded-t17-catalog-media
linganshi-17eb845ffe7c,锆石蝴蝶吊坠银,C:\Users\Dylan\Desktop\灵感石验室\锆石蝴蝶吊坠银.webp,linganshi-17eb845ffe7c.webp,56473,https://goearthward.com/wp-content/uploads/2026/07/linganshi-17eb845ffe7c.webp,uploaded-t17-catalog-media
linganshi-f6c328ba4d6a,锆石蝴蝶吊坠金,C:\Users\Dylan\Desktop\灵感石验室\锆石蝴蝶吊坠金.webp,linganshi-f6c328ba4d6a.webp,56474,https://goearthward.com/wp-content/uploads/2026/07/linganshi-f6c328ba4d6a.webp,uploaded-t17-catalog-media
linganshi-c51c34d1b9a6,金色锥形吊坠,C:\Users\Dylan\Desktop\灵感石验室\金色锥形吊坠.webp,linganshi-c51c34d1b9a6.webp,56475,https://goearthward.com/wp-content/uploads/2026/07/linganshi-c51c34d1b9a6.webp,uploaded-t17-catalog-media
linganshi-576a235a317a,银色锥形吊坠,C:\Users\Dylan\Desktop\灵感石验室\银色锥形吊坠.webp,linganshi-576a235a317a.webp,56476,https://goearthward.com/wp-content/uploads/2026/07/linganshi-576a235a317a.webp,uploaded-t17-catalog-media
linganshi-627d4ada88b2,半蝴蝶银,C:\Users\Dylan\Desktop\灵感石验室\半蝴蝶银.webp,linganshi-627d4ada88b2.webp,56477,https://goearthward.com/wp-content/uploads/2026/07/linganshi-627d4ada88b2.webp,uploaded-t17-catalog-media
linganshi-a77045ea9e51,半蝴蝶金,C:\Users\Dylan\Desktop\灵感石验室\半蝴蝶金.webp,linganshi-a77045ea9e51.webp,56478,https://goearthward.com/wp-content/uploads/2026/07/linganshi-a77045ea9e51.webp,uploaded-t17-catalog-media
linganshi-392bd02de388,镂空叶子吊坠,C:\Users\Dylan\Desktop\灵感石验室\镂空叶子吊坠.webp,linganshi-392bd02de388.webp,56479,https://goearthward.com/wp-content/uploads/2026/07/linganshi-392bd02de388.webp,uploaded-t17-catalog-media
linganshi-3045dc502e71,岁岁平安,C:\Users\Dylan\Desktop\灵感石验室\岁岁平安.webp,linganshi-3045dc502e71.webp,56480,https://goearthward.com/wp-content/uploads/2026/07/linganshi-3045dc502e71.webp,uploaded-t17-catalog-media
linganshi-a64387696c13,小金条吊坠,C:\Users\Dylan\Desktop\灵感石验室\小金条吊坠.webp,linganshi-a64387696c13.webp,56481,https://goearthward.com/wp-content/uploads/2026/07/linganshi-a64387696c13.webp,uploaded-t17-catalog-media
linganshi-55df064bffc6,小金砖吊坠,C:\Users\Dylan\Desktop\灵感石验室\小金砖吊坠.webp,linganshi-55df064bffc6.webp,56482,https://goearthward.com/wp-content/uploads/2026/07/linganshi-55df064bffc6.webp,uploaded-t17-catalog-media
linganshi-5a19489502c2,金色随型吊坠,C:\Users\Dylan\Desktop\灵感石验室\金色随型吊坠.webp,linganshi-5a19489502c2.webp,56483,https://goearthward.com/wp-content/uploads/2026/07/linganshi-5a19489502c2.webp,uploaded-t17-catalog-media
linganshi-d46657f2b0b9,银色随型吊坠,C:\Users\Dylan\Desktop\灵感石验室\银色随型吊坠.webp,linganshi-d46657f2b0b9.webp,56484,https://goearthward.com/wp-content/uploads/2026/07/linganshi-d46657f2b0b9.webp,uploaded-t17-catalog-media
linganshi-cc46fafe0fdc,花型吊坠,C:\Users\Dylan\Desktop\灵感石验室\花型吊坠.webp,linganshi-cc46fafe0fdc.webp,56485,https://goearthward.com/wp-content/uploads/2026/07/linganshi-cc46fafe0fdc.webp,uploaded-t17-catalog-media
linganshi-382169675862,多叶吊坠,C:\Users\Dylan\Desktop\灵感石验室\多叶吊坠.webp,linganshi-382169675862.webp,56486,https://goearthward.com/wp-content/uploads/2026/07/linganshi-382169675862.webp,uploaded-t17-catalog-media
linganshi-2ab73247dd54,繁花吊坠,C:\Users\Dylan\Desktop\灵感石验室\繁花吊坠.webp,linganshi-2ab73247dd54.webp,56686,https://goearthward.com/wp-content/uploads/2026/07/linganshi-2ab73247dd54.webp,uploaded-t17-catalog-media
linganshi-522fd3caefa6,古荷吊坠,C:\Users\Dylan\Desktop\灵感石验室\古荷吊坠.webp,linganshi-522fd3caefa6.webp,56487,https://goearthward.com/wp-content/uploads/2026/07/linganshi-522fd3caefa6.webp,uploaded-t17-catalog-media
linganshi-285cca40d59c,蝴蝶珍珠,C:\Users\Dylan\Desktop\灵感石验室\蝴蝶珍珠.webp,linganshi-285cca40d59c.webp,56488,https://goearthward.com/wp-content/uploads/2026/07/linganshi-285cca40d59c.webp,uploaded-t17-catalog-media
linganshi-1044437c1668,金色小方块,C:\Users\Dylan\Desktop\灵感石验室\金色小方块.webp,linganshi-1044437c1668.webp,56489,https://goearthward.com/wp-content/uploads/2026/07/linganshi-1044437c1668.webp,uploaded-t17-catalog-media
linganshi-362e2aaa6a9e,银色小方块,C:\Users\Dylan\Desktop\灵感石验室\银色小方块.webp,linganshi-362e2aaa6a9e.webp,56490,https://goearthward.com/wp-content/uploads/2026/07/linganshi-362e2aaa6a9e.webp,uploaded-t17-catalog-media
linganshi-b3b66eb20372,沉香方珠,C:\Users\Dylan\Desktop\灵感石验室\沉香方珠.webp,linganshi-b3b66eb20372.webp,56491,https://goearthward.com/wp-content/uploads/2026/07/linganshi-b3b66eb20372.webp,uploaded-t17-catalog-media
linganshi-8934192a86ee,棱形锆石隔环金,C:\Users\Dylan\Desktop\灵感石验室\棱形锆石隔环金.webp,linganshi-8934192a86ee.webp,56492,https://goearthward.com/wp-content/uploads/2026/07/linganshi-8934192a86ee.webp,uploaded-t17-catalog-media
linganshi-ac2ab6b5a135,棱形锆石隔环银,C:\Users\Dylan\Desktop\灵感石验室\棱形锆石隔环银.webp,linganshi-ac2ab6b5a135.webp,56493,https://goearthward.com/wp-content/uploads/2026/07/linganshi-ac2ab6b5a135.webp,uploaded-t17-catalog-media
linganshi-082e640c8292,锆石长隔环银,C:\Users\Dylan\Desktop\灵感石验室\锆石长隔环银.webp,linganshi-082e640c8292.webp,56494,https://goearthward.com/wp-content/uploads/2026/07/linganshi-082e640c8292.webp,uploaded-t17-catalog-media
linganshi-23da353b5360,锆石长隔环金,C:\Users\Dylan\Desktop\灵感石验室\锆石长隔环金.webp,linganshi-23da353b5360.webp,56495,https://goearthward.com/wp-content/uploads/2026/07/linganshi-23da353b5360.webp,uploaded-t17-catalog-media
linganshi-c6e86a8b997f,锆石隔环金,C:\Users\Dylan\Desktop\灵感石验室\锆石隔环金.webp,linganshi-c6e86a8b997f.webp,56496,https://goearthward.com/wp-content/uploads/2026/07/linganshi-c6e86a8b997f.webp,uploaded-t17-catalog-media
linganshi-8c0d4f314534,锆石隔环银,C:\Users\Dylan\Desktop\灵感石验室\锆石隔环银.webp,linganshi-8c0d4f314534.webp,56497,https://goearthward.com/wp-content/uploads/2026/07/linganshi-8c0d4f314534.webp,uploaded-t17-catalog-media
linganshi-cb9e890f26a5,锆石隔环,C:\Users\Dylan\Desktop\灵感石验室\锆石隔环.webp,linganshi-cb9e890f26a5.webp,56498,https://goearthward.com/wp-content/uploads/2026/07/linganshi-cb9e890f26a5.webp,uploaded-t17-catalog-media
